,Product name in Flipkart,Retail Price in Flipkart,Discounted price in Flipkart,Product name in Amazon,Retail Price in Amazon,Discounted price in Amazon
9031,Vedika Jewellery Alloy Bangle Set,1299.0,399.0,Vedika Jewellery Alloy Bangle Set,1280,466
9032,Eves Pret A Porter Women's Checkered Casual Shirt,899.0,449.0,Eves Pret A Porter Women's Checkered Casual Shirt,884,544
9033,Orange Plum Women's Printed Casual Shirt,999.0,499.0,Orange Plum Women's Printed Casual Shirt,998,616
9034,Femella Women's Printed Party Shirt,750.0,375.0,Femella Women's Printed Party Shirt,739,480
9035,Sukkhi Alloy Yellow Gold Bangle Set,1563.0,399.0,Sukkhi Alloy Yellow Gold Bangle Set,1547,506
9036,Shining Diva Alloy Bangle Set,2495.0,499.0,Shining Diva Alloy Bangle Set,2483,637
9037,Moonleaf Floral Cushions Cover,350.0,199.0,Moonleaf Floral Cushions Cover,339,250
9038,Stilestreet Women's Solid Casual Shirt,695.0,349.0,Stilestreet Women's Solid Casual Shirt,684,413
9039,Alibi By INMARK Women's Solid Casual Shirt,799.0,316.0,Alibi By INMARK Women's Solid Casual Shirt,788,408
9040,Iknow Women's Solid Party Shirt,1299.0,519.0,Iknow Women's Solid Party Shirt,1288,607
9041,Sukkhi Zinc Rhodium Bangle,1585.0,429.0,Sukkhi Zinc Rhodium Bangle,1579,547
9042,Seeyaar Women's Solid Casual Shirt,699.0,399.0,Seeyaar Women's Solid Casual Shirt,694,489
9043,Famous By Payal Kapoor Women's Animal Print Casual Shirt,999.0,499.0,Famous By Payal Kapoor Women's Animal Print Casual Shirt,997,590
9044,DressBerry Women's Solid Casual Shirt,999.0,399.0,DressBerry Women's Solid Casual Shirt,984,496
9045,Meira Women's Checkered Party Reversible Shirt,999.0,499.0,Meira Women's Checkered Party Reversible Shirt,997,645
9046,Jazzy Ben Women's Printed Casual Shirt,995.0,465.0,Jazzy Ben Women's Printed Casual Shirt,988,544
9047,Viva Fashions Alloy Cubic Zirconia Rhodium Bangle Set,900.0,900.0,Viva Fashions Alloy Cubic Zirconia Rhodium Bangle Set,883,1011
9048,Kuhuk Plastic Bangle Set,2000.0,495.0,Kuhuk Plastic Bangle Set,1996,626
9049,Nirosha Alloy Bangle Set,799.0,149.0,Nirosha Alloy Bangle Set,785,182
9050,Dinero Women's Solid Casual Shirt,1199.0,499.0,Dinero Women's Solid Casual Shirt,1190,611
9051,"Femninora Women's Solid Casual, Formal Shirt",799.0,404.0,"Femninora Women's Solid Casual, Formal Shirt",792,487
9052,SS Women's Checkered Casual Shirt,799.0,499.0,SS Women's Checkered Casual Shirt,788,595
9053,Vedika Jewellery Alloy Bangle Set,1299.0,399.0,Vedika Jewellery Alloy Bangle Set,1283,511
9054,Voylla Alloy Cubic Zirconia Yellow Gold Bangle Set,1239.0,483.0,Voylla Alloy Cubic Zirconia Yellow Gold Bangle Set,1232,568
9055,People Women's Printed Casual Shirt,899.0,629.0,People Women's Printed Casual Shirt,898,793
9056,People Women's Solid Casual Shirt,599.0,419.0,People Women's Solid Casual Shirt,593,518
9057,From the Ramp Women's Printed Casual Shirt,1499.0,499.0,From the Ramp Women's Printed Casual Shirt,1495,572
9058,Alibi By INMARK Women's Solid Casual Shirt,1099.0,435.0,Alibi By INMARK Women's Solid Casual Shirt,1082,538
9059,Bombay High Women's Solid Formal Shirt,799.0,399.0,Bombay High Women's Solid Formal Shirt,782,451
9060,Viva Fashions Alloy Cubic Zirconia Rhodium Bangle Set,850.0,850.0,Viva Fashions Alloy Cubic Zirconia Rhodium Bangle Set,847,1082
9061,Jazzup Women's Printed Casual Shirt,1154.0,499.0,Jazzup Women's Printed Casual Shirt,1144,550
9062,Adt Saral Printed Cushions Cover,250.0,90.0,Adt Saral Printed Cushions Cover,241,101
9063,Meee Women's Solid Casual Shirt,695.0,347.0,Meee Women's Solid Casual Shirt,694,404
9064,Meira Women's Solid Party Shirt,999.0,499.0,Meira Women's Solid Party Shirt,983,580
9065,Elmo Women's Solid Casual Shirt,999.0,415.0,Elmo Women's Solid Casual Shirt,984,466
9066,Dede'S Women's Printed Casual Shirt,1699.0,387.0,Dede'S Women's Printed Casual Shirt,1688,432
9067,Goodwill Impex Women's Printed Casual Shirt,1150.0,350.0,Goodwill Impex Women's Printed Casual Shirt,1133,426
9068,Westhreads Women's Solid Casual Shirt,799.0,499.0,Westhreads Women's Solid Casual Shirt,795,605
9069,Bombay High Women's Solid Formal Shirt,799.0,399.0,Bombay High Women's Solid Formal Shirt,779,448
9070,Entease Women's Solid Casual Shirt,1099.0,499.0,Entease Women's Solid Casual Shirt,1082,615
9071,MansiCollections Women's Checkered Casual Shirt,999.0,495.0,MansiCollections Women's Checkered Casual Shirt,980,571
9072,"Camy Alloy, Brass 18K Yellow Gold Bangle Set",1046.0,299.0,"Camy Alloy, Brass 18K Yellow Gold Bangle Set",1035,329
9073,Aapti Abstract Cushions Cover,750.0,149.0,Aapti Abstract Cushions Cover,742,173
9074,"Kumi Women's Solid Casual, Festive, Party Shirt",700.0,449.0,"Kumi Women's Solid Casual, Festive, Party Shirt",699,569
9075,Voylla Alloy Cubic Zirconia Yellow Gold Bangle Set,1109.0,430.0,Voylla Alloy Cubic Zirconia Yellow Gold Bangle Set,1101,509
9076,Viva Fashions Alloy Cubic Zirconia Rhodium Bangle Set,850.0,850.0,Viva Fashions Alloy Cubic Zirconia Rhodium Bangle Set,837,1059
9077,Tokyo Talkies Women's Checkered Casual Shirt,749.0,374.0,Tokyo Talkies Women's Checkered Casual Shirt,739,446
9078,Meira Women's Printed Party Reversible Shirt,999.0,499.0,Meira Women's Printed Party Reversible Shirt,990,645
9079,"Vaishali Bindi and Bangles Brass, Copper Bangle Set",649.0,249.0,"Vaishali Bindi and Bangles Brass, Copper Bangle Set",631,322
9080,Adhira Alloy Yellow Gold Bangle Set,1596.0,299.0,Adhira Alloy Yellow Gold Bangle Set,1175,371
9081,Anasazi Women's Paisley Casual Shirt,499.0,225.0,Anasazi Women's Paisley Casual Shirt,491,275
9082,Vedika Jewellery Alloy Bangle Set,1299.0,399.0,Vedika Jewellery Alloy Bangle Set,1280,466
9083,Concepts Women's Printed Casual Shirt,1099.0,379.0,Concepts Women's Printed Casual Shirt,1088,447
9084,Blueberry Metal Bangle Set,649.0,649.0,Blueberry Metal Bangle Set,637,761
9085,Tokyo Talkies Women's Printed Casual Shirt,949.0,474.0,Tokyo Talkies Women's Printed Casual Shirt,930,599
9086,House Of Tantrums Women's Solid Casual Shirt,599.0,419.0,House Of Tantrums Women's Solid Casual Shirt,595,507
9087,People Women's Geometric Print Casual Shirt,699.0,349.0,People Women's Geometric Print Casual Shirt,690,429
9088,Dhrohar Women's Solid Casual Shirt,1499.0,499.0,Dhrohar Women's Solid Casual Shirt,1488,583
9089,Wecart Alloy Crystal Rose Gold Bangle Set,899.0,199.0,Wecart Alloy Crystal Rose Gold Bangle Set,893,244
9090,Fille Divin Women's Printed Casual Shirt,1049.0,499.0,Fille Divin Women's Printed Casual Shirt,1045,552
9091,Fabpoppy Women's Solid Casual Shirt,975.0,355.0,Fabpoppy Women's Solid Casual Shirt,962,426
9092,Sukkhi Brass Yellow Gold Bangle Set,1797.0,449.0,Sukkhi Brass Yellow Gold Bangle Set,1786,506
9093,Voylla Alloy Crystal Yellow Gold Bangle,1759.0,371.0,Voylla Alloy Crystal Yellow Gold Bangle,1749,438
9094,"Stop To Start by Shoppers Stop Women's Self Design Casual, Formal Shirt",799.0,479.0,"Stop To Start by Shoppers Stop Women's Self Design Casual, Formal Shirt",790,622
9095,Orange Plum Women's Solid Casual Shirt,1499.0,449.0,Orange Plum Women's Solid Casual Shirt,1488,568
9096,"Vaishali Bindi and Bangles Brass, Copper Bangle Set",649.0,249.0,"Vaishali Bindi and Bangles Brass, Copper Bangle Set",629,312
9097,People Women's Checkered Formal Shirt,799.0,400.0,People Women's Checkered Formal Shirt,794,456
9098,"Vaishali Bindi and Bangles Brass, Copper Bangle Set",999.0,399.0,"Vaishali Bindi and Bangles Brass, Copper Bangle Set",993,472
9099,Femella Women's Solid Casual Shirt,850.0,374.0,Femella Women's Solid Casual Shirt,831,467
9100,DeDe'S Women's Solid Casual Shirt,1399.0,387.0,DeDe'S Women's Solid Casual Shirt,1389,468
9101,University Trendz Alloy Bangle Set,999.0,349.0,University Trendz Alloy Bangle Set,986,434
9102,Mayra Women's Solid Casual Shirt,1195.0,499.0,Mayra Women's Solid Casual Shirt,1187,609
9103,Gene Shoppiee Metal Bangle,599.0,119.0,Gene Shoppiee Metal Bangle,593,146
9104,Eves Pret A Porter Women's Checkered Casual Shirt,1500.0,499.0,Eves Pret A Porter Women's Checkered Casual Shirt,1493,553
9105,Aardee Women's Printed Casual Shirt,599.0,359.0,Aardee Women's Printed Casual Shirt,583,447
9106,Kasturi Women's Checkered Casual Shirt,1699.0,499.0,Kasturi Women's Checkered Casual Shirt,1689,638
9107,Being Fab Women's Solid Casual Shirt,1099.0,404.0,Being Fab Women's Solid Casual Shirt,1087,457
9108,Bedazzle Women's Animal Print Casual Shirt,1200.0,399.0,Bedazzle Women's Animal Print Casual Shirt,1182,494
9109,JANKI JEWELLERS Alloy Pearl Rhodium Bangle Set,2999.0,499.0,JANKI JEWELLERS Alloy Pearl Rhodium Bangle Set,2992,642
9110,Tokyo Talkies Women's Printed Casual Shirt,649.0,324.0,Tokyo Talkies Women's Printed Casual Shirt,633,383
9111,Seeyaar Women's Striped Casual Shirt,699.0,399.0,Seeyaar Women's Striped Casual Shirt,691,493
9112,"Vaishali Bindi and Bangles Brass, Copper Bangle Set",649.0,249.0,"Vaishali Bindi and Bangles Brass, Copper Bangle Set",640,276
9113,Gudluk Women's Solid Casual Shirt,799.0,499.0,Gudluk Women's Solid Casual Shirt,793,573
9114,Voylla Alloy Crystal Yellow Gold Bangle,1829.0,455.0,Voylla Alloy Crystal Yellow Gold Bangle,1809,508
9115,Being Fab Women's Solid Casual Shirt,1099.0,349.0,Being Fab Women's Solid Casual Shirt,1079,439
9116,Shopper Tree Women's Solid Casual Shirt,845.0,422.0,Shopper Tree Women's Solid Casual Shirt,826,481
9117,Adhaans Women's Printed Casual Shirt,1099.0,449.0,Adhaans Women's Printed Casual Shirt,1084,535
9118,Cocktail Copper Cubic Zirconia Copper Bangle Set,1699.0,349.0,Cocktail Copper Cubic Zirconia Copper Bangle Set,1690,398
9119,Lee Cooper Women's Checkered Casual Shirt,899.0,404.0,Lee Cooper Women's Checkered Casual Shirt,880,500
9120,House Of Tantrums Women's Printed Casual Shirt,599.0,419.0,House Of Tantrums Women's Printed Casual Shirt,594,497
9121,Amore Abstract Cushions Cover,349.0,149.0,Amore Abstract Cushions Cover,347,166
9122,Nineteen Women's Striped Casual Shirt,899.0,405.0,Nineteen Women's Striped Casual Shirt,881,509
9123,"Camy Alloy, Brass, Metal Cubic Zirconia 18K Yellow Gold Bangle Set",1499.0,399.0,"Camy Alloy, Brass, Metal Cubic Zirconia 18K Yellow Gold Bangle Set",1490,461
9124,Blenni Women's Solid Casual Shirt,1299.0,499.0,Blenni Women's Solid Casual Shirt,1293,595
9125,Nineteen Women's Checkered Casual Shirt,1099.0,495.0,Nineteen Women's Checkered Casual Shirt,1086,566
9126,F&S Women's Checkered Casual Shirt,799.0,421.0,F&S Women's Checkered Casual Shirt,793,474
9127,Vedika Jewellery Alloy Bangle Set,1299.0,325.0,Vedika Jewellery Alloy Bangle Set,1286,372
9128,"Camy Alloy, Metal, Brass Cubic Zirconia 18K Yellow Gold Bangle Set",1199.0,299.0,"Camy Alloy, Metal, Brass Cubic Zirconia 18K Yellow Gold Bangle Set",1189,367
9129,Kiosha Women's Printed Casual Shirt,1399.0,297.0,Kiosha Women's Printed Casual Shirt,1380,375
9130,"Vaishali Bindi and Bangles Brass, Copper Bangle Set",899.0,349.0,"Vaishali Bindi and Bangles Brass, Copper Bangle Set",889,453
9131,Multiline Company Alloy Bangle Set,2100.0,378.0,Multiline Company Alloy Bangle Set,2093,441
9132,"Kumi Women's Solid Casual, Festive, Party Shirt",700.0,449.0,"Kumi Women's Solid Casual, Festive, Party Shirt",682,536
9133,Femella Women's Printed Casual Shirt,990.0,495.0,Femella Women's Printed Casual Shirt,981,624
9134,Ethnic Jewels Alloy Yellow Gold Bangle Set,1619.0,323.0,Ethnic Jewels Alloy Yellow Gold Bangle Set,-18,0
9135,Pique Republic Women's Printed Casual Shirt,799.0,499.0,Pique Republic Women's Printed Casual Shirt,794,571
9136,East West Women's Solid Casual Shirt,1599.0,300.0,East West Women's Solid Casual Shirt,1598,338
9137,Smart Home Textile Floral Cushions Cover,350.0,199.0,Smart Home Textile Floral Cushions Cover,341,233
9138,Oxolloxo Women's Geometric Print Casual Shirt,1145.0,343.0,Oxolloxo Women's Geometric Print Casual Shirt,1127,427
9139,Dinero Women's Solid Casual Shirt,1199.0,439.0,Dinero Women's Solid Casual Shirt,1187,519
9140,Colors Couture Women's Polka Print Casual Shirt,899.0,499.0,Colors Couture Women's Polka Print Casual Shirt,889,591
9141,Lee Cooper Women's Checkered Casual Shirt,899.0,404.0,Lee Cooper Women's Checkered Casual Shirt,884,498
9142,Anasazi Women's Solid Casual Shirt,669.0,301.0,Anasazi Women's Solid Casual Shirt,658,367
9143,"Vaishali Bindi and Bangles Brass, Copper Bangle Set",649.0,249.0,"Vaishali Bindi and Bangles Brass, Copper Bangle Set",629,312
9144,Bedazzle Women's Checkered Casual Shirt,1200.0,399.0,Bedazzle Women's Checkered Casual Shirt,1191,500
9145,Sukkhi Zinc Rhodium Bangle,1585.0,429.0,Sukkhi Zinc Rhodium Bangle,1570,477
9146,"Vaishali Bindi and Bangles Brass, Copper Bangle Set",980.0,329.0,"Vaishali Bindi and Bangles Brass, Copper Bangle Set",963,427
9147,Viva Fashions Alloy Cubic Zirconia Rhodium Bangle Set,810.0,810.0,Viva Fashions Alloy Cubic Zirconia Rhodium Bangle Set,790,896
9148,Wisstler Women's Solid Casual Shirt,799.0,449.0,Wisstler Women's Solid Casual Shirt,790,576
9149,Attire By Kapsons Women's Solid Casual Shirt,1749.0,419.0,Attire By Kapsons Women's Solid Casual Shirt,1738,476
9150,Species Women's Floral Print Casual Shirt,599.0,359.0,Species Women's Floral Print Casual Shirt,596,455
9151,Trend Arrest Women's Printed Casual Shirt,999.0,499.0,Trend Arrest Women's Printed Casual Shirt,979,587
9152,Cocktail Copper Cubic Zirconia Copper Bangle Set,1399.0,349.0,Cocktail Copper Cubic Zirconia Copper Bangle Set,1690,398
9153,Itrendz Women's Printed Casual Shirt,550.0,350.0,Itrendz Women's Printed Casual Shirt,536,415
9154,Candies by Pantaloons Women's Solid Casual Shirt,899.0,494.0,Candies by Pantaloons Women's Solid Casual Shirt,885,601
9155,Hermosear Women's Paisley Formal Shirt,1099.0,499.0,Hermosear Women's Paisley Formal Shirt,1092,619
9156,"Vaishali Bindi and Bangles Brass, Copper Bangle Set",1380.0,499.0,"Vaishali Bindi and Bangles Brass, Copper Bangle Set",1366,583
9157,Kasturi Women's Solid Casual Shirt,1699.0,499.0,Kasturi Women's Solid Casual Shirt,1684,580
9158,Aardee Women's Solid Casual Shirt,799.0,479.0,Aardee Women's Solid Casual Shirt,790,620
9159,Jazzy Ben Women's Checkered Casual Shirt,1095.0,495.0,Jazzy Ben Women's Checkered Casual Shirt,1090,631
9160,Ishin Women's Solid Party Shirt,2799.0,499.0,Ishin Women's Solid Party Shirt,2789,592
9161,Abida Women's Checkered Casual Shirt,899.0,399.0,Abida Women's Checkered Casual Shirt,896,482
9162,Gudluk Women's Checkered Casual Shirt,799.0,499.0,Gudluk Women's Checkered Casual Shirt,781,582
9163,Mayra Women's Solid Casual Shirt,995.0,499.0,Mayra Women's Solid Casual Shirt,990,570
9164,Ishin Designer Studio Women's Solid Casual Shirt,949.0,499.0,Ishin Designer Studio Women's Solid Casual Shirt,944,579
9165,Viva Fashions Alloy Pearl Rhodium Bangle Set,750.0,750.0,Viva Fashions Alloy Pearl Rhodium Bangle Set,746,953
9166,Tokyo Talkies Women's Printed Casual Shirt,949.0,474.0,Tokyo Talkies Women's Printed Casual Shirt,932,596
9167,Blute Women's Striped Casual Shirt,500.0,275.0,Blute Women's Striped Casual Shirt,480,307
9168,Solah Shringar Lac Bangle Set,999.0,999.0,Solah Shringar Lac Bangle Set,985,1180
9169,Silly People Women's Printed Casual Shirt,599.0,399.0,Silly People Women's Printed Casual Shirt,597,494
9170,Teemoods Women's Solid Casual Shirt,999.0,499.0,Teemoods Women's Solid Casual Shirt,979,624
9171,People Women's Solid Casual Shirt,599.0,359.0,People Women's Solid Casual Shirt,594,412
9172,Jazzy Ben Women's Checkered Casual Shirt,850.0,425.0,Jazzy Ben Women's Checkered Casual Shirt,843,506
9173,Mayra Women's Solid Casual Shirt,895.0,499.0,Mayra Women's Solid Casual Shirt,885,593
9174,Tokyo Talkies Women's Printed Casual Shirt,749.0,374.0,Tokyo Talkies Women's Printed Casual Shirt,748,460
9175,Concepts Women's Embroidered Casual Denim Shirt,1099.0,499.0,Concepts Women's Embroidered Casual Denim Shirt,1097,580
9176,Dapinc Plastic Bangle Set,1000.0,300.0,Dapinc Plastic Bangle Set,992,362
9177,Antilia Femme Women's Printed Casual Reversible Shirt,1099.0,499.0,Antilia Femme Women's Printed Casual Reversible Shirt,1095,645
9178,Gudluk Women's Solid Casual Shirt,799.0,499.0,Gudluk Women's Solid Casual Shirt,786,637
9179,Being Fab Women's Solid Casual Shirt,1099.0,324.0,Being Fab Women's Solid Casual Shirt,1098,376
9180,Attire By Kapsons Women's Printed Casual Shirt,1599.0,379.0,Attire By Kapsons Women's Printed Casual Shirt,1594,478
9181,Sukkhi Copper Yellow Gold Bangle Set,1348.0,369.0,Sukkhi Copper Yellow Gold Bangle Set,1339,475
9182,Kiosha Women's Solid Casual Shirt,1299.0,297.0,Kiosha Women's Solid Casual Shirt,1294,362
9183,Candies by Pantaloons Women's Solid Casual Shirt,899.0,494.0,Candies by Pantaloons Women's Solid Casual Shirt,897,625
9184,NJ Metal Yellow Gold Bangle Set,999.0,199.0,NJ Metal Yellow Gold Bangle Set,993,256
9185,Jazzup Women's Checkered Casual Shirt,1539.0,499.0,Jazzup Women's Checkered Casual Shirt,1537,646
9186,Bonhomie Women's Printed Casual Shirt,899.0,450.0,Bonhomie Women's Printed Casual Shirt,892,513
9187,Sukkhi Copper Yellow Gold Bangle Set,1728.0,459.0,Sukkhi Copper Yellow Gold Bangle Set,1718,545
9188,Silly People Women's Striped Casual Shirt,749.0,399.0,Silly People Women's Striped Casual Shirt,729,484
9189,Aussehen Women's Printed Casual Shirt,1200.0,350.0,Aussehen Women's Printed Casual Shirt,1185,397
9190,Anouk Women's Printed Casual Shirt,999.0,499.0,Anouk Women's Printed Casual Shirt,998,632
9191,Vedika Jewellery Alloy Bangle Set,1299.0,399.0,Vedika Jewellery Alloy Bangle Set,1280,466
9192,People Women's Checkered Casual Shirt,799.0,559.0,People Women's Checkered Casual Shirt,790,725
9193,Mallory Winston Women's Checkered Casual Shirt,656.0,399.0,Mallory Winston Women's Checkered Casual Shirt,647,511
9194,Kuhuk Plastic Bangle Set,900.0,200.0,Kuhuk Plastic Bangle Set,888,233
9195,Meee Women's Solid Casual Reversible Shirt,895.0,448.0,Meee Women's Solid Casual Reversible Shirt,881,560
9196,"Femninora Women's Solid Casual, Formal Shirt",999.0,404.0,"Femninora Women's Solid Casual, Formal Shirt",994,496
9197,Sukkhi Copper Yellow Gold Bangle Set,1397.0,389.0,Sukkhi Copper Yellow Gold Bangle Set,1387,432
9198,Vedika Jewellery Alloy Bangle Set,1299.0,375.0,Vedika Jewellery Alloy Bangle Set,1287,429
9199,Sukkhi Zinc Yellow Gold Bangle,1348.0,369.0,Sukkhi Zinc Yellow Gold Bangle,1347,433
9200,Belly Bottom Women's Printed Party Shirt,1199.0,399.0,Belly Bottom Women's Printed Party Shirt,1192,472
9201,Miss Rich Women's Solid Casual Shirt,799.0,399.0,Miss Rich Women's Solid Casual Shirt,798,497
9202,"Modimania Women's Self Design Casual, Formal, Festive, Party Shirt",1200.0,499.0,"Modimania Women's Self Design Casual, Formal, Festive, Party Shirt",1181,575
9203,Anasazi Women's Printed Casual Shirt,569.0,256.0,Anasazi Women's Printed Casual Shirt,567,290
9204,Meira Women's Checkered Party Reversible Shirt,999.0,499.0,Meira Women's Checkered Party Reversible Shirt,997,645
9205,C M Clothing Women's Printed Casual Shirt,899.0,299.0,C M Clothing Women's Printed Casual Shirt,879,363
9206,ShopperTree Women's Solid Casual Shirt,649.0,324.0,ShopperTree Women's Solid Casual Shirt,646,367
9207,Lol Women's Solid Casual Shirt,1099.0,439.0,Lol Women's Solid Casual Shirt,1097,530
9208,Jazzy Ben Women's Printed Casual Shirt,995.0,465.0,Jazzy Ben Women's Printed Casual Shirt,988,544
9209,Colors Couture Women's Solid Casual Shirt,799.0,499.0,Colors Couture Women's Solid Casual Shirt,787,591
9210,Viva Fashions Alloy Cubic Zirconia Rhodium Bangle Set,850.0,850.0,Viva Fashions Alloy Cubic Zirconia Rhodium Bangle Set,847,1082
9211,Hsfs Women's Printed Casual Shirt,999.0,380.0,Hsfs Women's Printed Casual Shirt,981,481
9212,"Femninora Women's Solid Casual, Formal Shirt",799.0,404.0,"Femninora Women's Solid Casual, Formal Shirt",792,524
9213,Kashana Fashions Women's Printed Casual Shirt,1899.0,490.0,Kashana Fashions Women's Printed Casual Shirt,1882,579
9214,Viva Fashions Alloy Cubic Zirconia Rhodium Bangle Set,750.0,750.0,Viva Fashions Alloy Cubic Zirconia Rhodium Bangle Set,746,887
9215,DeDe'S Women's Printed Casual Shirt,1399.0,387.0,DeDe'S Women's Printed Casual Shirt,1395,445
9216,Ausy Women's Solid Casual Shirt,999.0,327.0,Ausy Women's Solid Casual Shirt,987,406
9217,Identiti Women's Solid Casual Shirt,899.0,499.0,Identiti Women's Solid Casual Shirt,881,619
9218,Anasazi Women's Floral Print Casual Shirt,549.0,247.0,Anasazi Women's Floral Print Casual Shirt,535,293
9219,Tradeyard Impex Alloy Bangle,799.0,249.0,Tradeyard Impex Alloy Bangle,786,279
9220,Being Fab Women's Solid Casual Shirt,1099.0,349.0,Being Fab Women's Solid Casual Shirt,1081,450
9221,Variation Alloy Yellow Gold 22 Bangle Set,899.0,299.0,Variation Alloy Yellow Gold 22 Bangle Set,888,380
9222,"Vaishali Bindi and Bangles Brass, Copper Bangle Set",649.0,249.0,"Vaishali Bindi and Bangles Brass, Copper Bangle Set",641,297
9223,Kashana Fashions Women's Polka Print Casual Shirt,1899.0,490.0,Kashana Fashions Women's Polka Print Casual Shirt,1884,581
9224,"Femninora Women's Solid Casual, Formal Shirt",799.0,404.0,"Femninora Women's Solid Casual, Formal Shirt",780,514
9225,Tokyo Talkies Women's Self Design Casual Shirt,949.0,474.0,Tokyo Talkies Women's Self Design Casual Shirt,938,599
9226,BPT Women's Printed Casual Shirt,1049.0,399.0,BPT Women's Printed Casual Shirt,1038,455
9227,"Mrigya Alloy, Metal Bangle Set",1378.0,399.0,"Mrigya Alloy, Metal Bangle Set",1363,479
9228,Antilia Femme Women's Solid Casual Reversible Shirt,1099.0,399.0,Antilia Femme Women's Solid Casual Reversible Shirt,1080,465
9229,"Femninora Women's Solid Casual, Formal Shirt",799.0,404.0,"Femninora Women's Solid Casual, Formal Shirt",788,482
9230,Sbuys Women's Striped Casual Shirt,799.0,399.0,Sbuys Women's Striped Casual Shirt,785,441
9231,Fashion Fusion Alloy Yellow Gold Bangle Set,1000.0,299.0,Fashion Fusion Alloy Yellow Gold Bangle Set,990,354
9232,Mrigya Alloy Bangle Set,1378.0,299.0,Mrigya Alloy Bangle Set,1361,368
9233,Cherymoya Women's Solid Casual Shirt,799.0,479.0,Cherymoya Women's Solid Casual Shirt,781,573
9234,Shining Diva Alloy Bangle Set,1245.0,249.0,Shining Diva Alloy Bangle Set,1244,277
9235,Dhrohar Women's Solid Casual Shirt,1499.0,499.0,Dhrohar Women's Solid Casual Shirt,1495,603
9236,Mayra Women's Solid Casual Shirt,1195.0,499.0,Mayra Women's Solid Casual Shirt,1183,603
9237,"Vaishali Bindi and Bangles Brass, Copper Bangle Set",649.0,249.0,"Vaishali Bindi and Bangles Brass, Copper Bangle Set",629,312
9238,Kiosha Women's Printed Casual Shirt,1299.0,367.0,Kiosha Women's Printed Casual Shirt,1280,468
9239,"Vaishali Bindi and Bangles Brass, Copper Bangle Set",999.0,399.0,"Vaishali Bindi and Bangles Brass, Copper Bangle Set",990,506
9240,Mayra Women's Solid Casual Shirt,895.0,499.0,Mayra Women's Solid Casual Shirt,893,563
9241,Roadster Women's Solid Casual Shirt,999.0,499.0,Roadster Women's Solid Casual Shirt,991,587
9242,"Vaishali Bindi and Bangles Brass, Copper Bangle Set",749.0,299.0,"Vaishali Bindi and Bangles Brass, Copper Bangle Set",732,361
9243,Bonhomie Women's Printed Casual Shirt,799.0,400.0,Bonhomie Women's Printed Casual Shirt,786,520
9244,"Vaishali Bindi and Bangles Brass, Copper Bangle Set",1440.0,449.0,"Vaishali Bindi and Bangles Brass, Copper Bangle Set",1424,520
9245,HRX Women's Solid Casual Shirt,1299.0,389.0,HRX Women's Solid Casual Shirt,1296,470
9246,Fabpoppy Women's Solid Casual Shirt,625.0,275.0,Fabpoppy Women's Solid Casual Shirt,621,324
9247,Tokyo Talkies Women's Floral Print Casual Shirt,949.0,474.0,Tokyo Talkies Women's Floral Print Casual Shirt,930,544
9248,Numero Uno Women's Solid Casual Shirt,1199.0,359.0,Numero Uno Women's Solid Casual Shirt,1185,457
9249,Kuhuk Plastic Bangle Set,2000.0,495.0,Kuhuk Plastic Bangle Set,1996,626
9250,Cambow Women's Solid Casual Shirt,599.0,399.0,Cambow Women's Solid Casual Shirt,596,507
9251,Voylla Alloy Crystal Yellow Gold Bangle,1759.0,359.0,Voylla Alloy Crystal Yellow Gold Bangle,1746,443
9252,Bedazzle Women's Solid Casual Shirt,1200.0,399.0,Bedazzle Women's Solid Casual Shirt,1192,479
9253,Eves Pret A Porter Women's Checkered Casual Shirt,1500.0,499.0,Eves Pret A Porter Women's Checkered Casual Shirt,1484,569
9254,Bombay High Women's Checkered Formal Shirt,799.0,399.0,Bombay High Women's Checkered Formal Shirt,793,490
9255,Globus Women's Printed Casual Shirt,899.0,449.0,Globus Women's Printed Casual Shirt,896,578
9256,Blute Women's Striped Casual Shirt,600.0,300.0,Blute Women's Striped Casual Shirt,597,383
9257,"Camy Alloy, Brass Bangle Set",1750.0,449.0,"Camy Alloy, Brass Bangle Set",1748,528
9258,Fabpoppy Women's Solid Casual Shirt,715.0,355.0,Fabpoppy Women's Solid Casual Shirt,709,424
9259,Sukkhi Brass Yellow Gold Bangle Set,1763.0,449.0,Sukkhi Brass Yellow Gold Bangle Set,1786,506
9260,Indiatrendzs Women's Printed Casual Shirt,1448.0,497.0,Indiatrendzs Women's Printed Casual Shirt,1432,643
9261,"Osumfab Women's Solid Casual, Formal Shirt",799.0,399.0,"Osumfab Women's Solid Casual, Formal Shirt",782,498
9262,"Vaishali Bindi and Bangles Brass, Copper Bangle Set",749.0,299.0,"Vaishali Bindi and Bangles Brass, Copper Bangle Set",736,336
9263,"STOP by Shoppers Stop Women's Solid Casual, Formal Shirt",594.0,356.0,"STOP by Shoppers Stop Women's Solid Casual, Formal Shirt",589,397
9264,Vedika Jewellery Alloy Bangle Set,1299.0,325.0,Vedika Jewellery Alloy Bangle Set,1286,372
9265,"Addyvero Women's Solid Casual, Formal Denim Shirt",1299.0,497.0,"Addyvero Women's Solid Casual, Formal Denim Shirt",1295,554
9266,Kiosha Women's Solid Casual Shirt,1299.0,297.0,Kiosha Women's Solid Casual Shirt,1287,328
